YEAR,PER_RIDE,UNLTD
1998,$2.14 ,1.2
1999,2.1,1.23
2000,2.03,1.27
2001,1.97,1.3
2002,1.94,1.32
2003,2.53,1.13
2004,2.47,1.16
2005,2.39,1.3
2006,2.31,1.34
2007,2.25,1.38
2008,2.16,1.53
2009,2.17,1.94
2010,2.4,1.77
2011,2.33,1.82
2012,2.28,1.86
2013,2.5,1.83
2014,2.45,1.87
