YEAR,Percent_Increase_Base,Percent_Increase_Thirty,Percent_Increase_Seven
1953,0,0,0
1966,33,0,0
1970,50,0,0
1972,17,0,0
1975,43,0,0
1980,20,0,0
1981,25,0,0
1984,20,0,0
1986,11,0,0
1990,15,0,0
1991,0,0,0
1992,9,0,0
1993,0,0,0
1994,0,0,0
1995,20,0,0
1996,0,0,0
1997,0,0,0
1998,0,0,0
1999,0,0,0
2000,0,0,0
2001,0,0,0
2002,0,0,0
2003,33,11,24
2004,0,0,0
2005,0,9,14
2006,0,0,0
2007,0,0,0
2008,0,7,4
2009,0,27,8
2010,13,1,7
2011,0,0,0
2012,0,0,0
2013,11,8,3
2014,0,0,0
